PERIODE;PIB;P7;P3M;P3P;P31G;P32G;P3;P51S;P51B;P51G;P51M;P51P;P51;P54;P6
1949T1;3,2;0,4;1,9;0,1;0,2;0,2;2,4;0,4;0,0;0,1;0,1;0,0;0,6;0,1;0,4
1949T2;3,2;0,4;2,0;0,1;0,3;0,2;2,5;0,4;0,0;0,1;0,1;0,0;0,6;0,1;0,5
1949T3;3,3;0,4;2,1;0,1;0,3;0,2;2,6;0,4;0,0;0,1;0,1;0,0;0,6;0,1;0,5
1949T4;3,4;0,4;2,1;0,1;0,3;0,3;2,6;0,4;0,0;0,1;0,1;0,0;0,7;0,1;0,5
1950T1;3,6;0,5;2,1;0,1;0,3;0,3;2,7;0,5;0,0;0,1;0,1;0,0;0,7;0,2;0,5
1950T2;3,8;0,5;2,2;0,1;0,3;0,3;2,8;0,5;0,0;0,1;0,1;0,0;0,7;0,2;0,6
1950T3;4,0;0,5;2,4;0,1;0,3;0,3;3,1;0,5;0,0;0,1;0,1;0,0;0,7;0,1;0,6
1950T4;4,2;0,6;2,5;0,1;0,3;0,3;3,2;0,5;0,0;0,1;0,1;0,0;0,7;0,1;0,7
1951T1;4,4;0,6;2,7;0,1;0,3;0,3;3,4;0,6;0,0;0,1;0,1;0,0;0,8;0,1;0,7
1951T2;4,8;0,7;2,8;0,1;0,4;0,3;3,6;0,6;0,0;0,1;0,2;0,0;0,9;0,2;0,8
1951T3;5,0;0,8;3,0;0,1;0,4;0,4;3,8;0,6;0,0;0,1;0,2;0,0;0,9;0,2;0,8
1951T4;5,4;0,8;3,1;0,1;0,4;0,4;4,0;0,7;0,0;0,1;0,2;0,0;1,0;0,3;0,8
1952T1;5,7;0,8;3,3;0,1;0,4;0,4;4,3;0,7;0,0;0,2;0,2;0,0;1,1;0,3;0,8
1952T2;5,6;0,8;3,3;0,1;0,5;0,4;4,3;0,7;0,0;0,2;0,3;0,0;1,1;0,2;0,8
1952T3;5,7;0,8;3,4;0,1;0,5;0,5;4,4;0,7;0,0;0,2;0,3;0,0;1,1;0,2;0,8
1952T4;5,7;0,8;3,4;0,1;0,5;0,5;4,5;0,7;0,0;0,2;0,3;0,0;1,1;0,1;0,8
1953T1;5,8;0,7;3,5;0,1;0,5;0,5;4,5;0,7;0,0;0,2;0,3;0,0;1,1;0,1;0,8
1953T2;5,9;0,7;3,5;0,1;0,5;0,5;4,6;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1953T3;5,9;0,7;3,5;0,1;0,5;0,5;4,6;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1953T4;6,0;0,7;3,5;0,1;0,5;0,5;4,6;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1954T1;6,1;0,8;3,6;0,1;0,5;0,5;4,7;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1954T2;6,2;0,8;3,7;0,1;0,5;0,5;4,8;0,7;0,0;0,2;0,3;0,0;1,2;0,1;0,8
1954T3;6,4;0,8;3,7;0,1;0,5;0,5;4,8;0,7;0,0;0,2;0,3;0,0;1,3;0,1;0,8
1954T4;6,4;0,8;3,8;0,1;0,5;0,5;4,9;0,7;0,0;0,2;0,4;0,0;1,3;0,1;0,9
1955T1;6,5;0,8;3,8;0,1;0,5;0,5;4,9;0,7;0,0;0,2;0,4;0,0;1,3;0,2;0,9
1955T2;6,7;0,8;3,9;0,1;0,5;0,5;5,0;0,7;0,0;0,2;0,4;0,0;1,4;0,1;0,9
1955T3;6,8;0,8;4,0;0,1;0,5;0,5;5,1;0,8;0,0;0,2;0,4;0,0;1,4;0,1;0,9
